CATALOGNUMBER	SEX
UCSB-IZC00046674	FEMALE
UCSB-IZC00046675	MALE
UCSB-IZC00046677	FEMALE
UCSB-IZC00046679	MALE
UCSB-IZC00046801	FEMALE
UCSB-IZC00046803	FEMALE
UCSB-IZC00046804	MALE
UCSB-IZC00046805	MALE
UCSB-IZC00046806	FEMALE
UCSB-IZC00046807	FEMALE
UCSB-IZC00046808	MALE
UCSB-IZC00046810	FEMALE
UCSB-IZC00046811	MALE
UCSB-IZC00046812	FEMALE
UCSB-IZC00046813	MALE
UCSB-IZC00046814	FEMALE
UCSB-IZC00046815	FEMALE
UCSB-IZC00046817	FEMALE
UCSB-IZC00046818	MALE
UCSB-IZC00046819	MALE
UCSB-IZC00046820	FEMALE
UCSB-IZC00046821	FEMALE
UCSB-IZC00046822	FEMALE
UCSB-IZC00046823	MALE
UCSB-IZC00046824	MALE
UCSB-IZC00046825	MALE
UCSB-IZC00046826	FEMALE
UCSB-IZC00046827	FEMALE
UCSB-IZC00046828	FEMALE
UCSB-IZC00046829	MALE
UCSB-IZC00046830	FEMALE
UCSB-IZC00046833	FEMALE
UCSB-IZC00046834	FEMALE
UCSB-IZC00046835	FEMALE
UCSB-IZC00046836	MALE
UCSB-IZC00046837	FEMALE
UCSB-IZC00046839	FEMALE
UCSB-IZC00046841	FEMALE
UCSB-IZC00046842	FEMALE
UCSB-IZC00046844	MALE
UCSB-IZC00046845	MALE
UCSB-IZC00046846	MALE
UCSB-IZC00046849	FEMALE
UCSB-IZC00046850	FEMALE
UCSB-IZC00046851	FEMALE
UCSB-IZC00046852	FEMALE
UCSB-IZC00046854	FEMALE
UCSB-IZC00046855	MALE
UCSB-IZC00046856	FEMALE
UCSB-IZC00046857	MALE
UCSB-IZC00046859	MALE
UCSB-IZC00046860	MALE
