coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
69521,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:1bb5b5b3-32a2-41bb-b0a4-4fff1d42097b,"2021-11-02 14:19:26"
69521,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:d051b02d-7db0-4809-8cd6-30a21a43b1f6,"2021-11-02 14:19:26"
69493,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f926d89e-2afe-4cd6-ae64-d947b17b977e,"2021-11-02 14:19:26"
69512,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:03db76de-c91d-4e81-85a5-fca438924752,"2021-11-02 14:19:26"
69512,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:4b6b0cb4-60f2-41da-91ed-22d0d75ded17,"2021-11-02 14:19:26"
69523,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:8560fe01-39ab-41ed-8e3f-e63a0fed8eb6,"2021-11-02 14:19:26"
69523,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:021f9d21-6fe0-41fa-b5e6-6dfd27aa1045,"2021-11-02 14:19:26"
69494,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:8db631de-e5c7-4bc3-9394-151c55553990,"2021-11-02 14:19:26"
69503,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:1ab29298-d861-4695-88b1-32eda780a85d,"2021-11-02 14:19:26"
69503,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:60d524d4-4e21-4ffe-874a-6618fe0401b7,"2021-11-02 14:19:26"
69520,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:3cf9df85-4df6-44c1-b13f-23efd4a9c76d,"2021-11-02 14:19:26"
69520,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:a0726c3c-3f9e-4c84-bf8e-b4530bab95ee,"2021-11-02 14:19:26"
